,carrier_name,num_schedulled,num_cancelled,num_delayed,total_delay,total_distance,pct_cancelled,pct_delayed,pct_delay_time,pct_distance_delay
0,Southwest,1201754,12389,117195,2261002.0,756840555,1.0309098201462197,9.853577329078963,190.10160884169284,0.2987421835501402
1,American,604885,17440,72843,2821907.0,620867393,2.8831926729874273,12.399969358833593,480.36956651260965,0.45451042071394465
2,Skywest,567159,12436,39663,1678216.0,239289236,2.1926831805543068,7.150055072531695,302.5322548370989,0.7013336780430859
3,American Eagle,490693,18331,44592,1705271.0,194707043,3.7357370086795614,9.440217460337623,361.00935299621904,0.8758137218487777
4,US,453589,6582,38134,1109335.0,384276631,1.4510933907127377,8.530962602375354,248.16949175292558,0.2886813588203858
5,Delta,451931,6813,41296,1411220.0,412102226,1.507531016903023,9.277539888299282,317.04401978801127,0.3424441585035263
6,United,449515,10541,46847,1720150.0,475895169,2.344971802943172,10.671930456017895,391.85692091103346,0.3614556549532866
7,Expressjet,374510,9992,34914,1218009.0,215287217,2.668019545539505,9.578127829078399,334.1423468799895,0.5657600190911475
8,Northwest,347652,2906,36800,1478247.0,277844318,0.8358933646289969,10.674525592755247,428.79308244330605,0.5320414722319424
9,Continental,298455,3702,28618,996161.0,340690577,1.240387998190682,9.709146302158079,337.9646687226254,0.29239464407024085
10,Atlantic Southeast,280575,5026,37398,1688969.0,122307769,1.7913213935667824,13.572177725195884,612.9468805911108,1.3809171844185957
11,Pinnacle,262208,7100,16176,908509.0,115085239,2.7077739809616794,6.3408438778870115,356.1272088684008,0.7894226991178251
12,AirTran,261684,2236,13943,443708.0,188830439,0.8544656914446431,5.374101939502328,171.02001171718416,0.23497694669872582
13,Mesa,254930,9219,30855,1927740.0,96986502,3.616286823833994,12.557435361054248,784.5558399908837,1.987637413709384
14,Comair,197607,6462,21308,1075766.0,93273693,3.2701270703973035,11.147558136493238,562.8010149363049,1.1533434191353398
15,JetBlue,196091,3205,21451,677621.0,212671088,1.6344452320606249,11.121076698153313,351.3064711798679,0.31862394008159683
16,Alaska,151102,2139,12374,481833.0,143071050,1.4156000582388057,8.306760739243973,323.4581741774803,0.3367788242275429
17,Frontier,95762,303,11264,250971.0,84035990,0.31640943171612956,11.799830293633915,262.90973087922566,0.2986470439629497
18,Hawaiian,61826,570,4718,184855.0,34562911,0.921942224953903,7.7021026511688655,301.7745200470158,0.5348363163044918
19,Aloha,7800,42,233,8727.0,3295411,0.5384615384615384,3.003351379221449,112.49033255993812,0.26482280965864347
